Labels,KONGBAI-3,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.10,
Detector,Det 1,

435.00,1.30890810E+0,
435.500,1.74249339E+0,
436.00,3.26898789E+0,
436.500,3.71537256E+0,
437.00,2.41367054E+0,
437.500,8.10301590E+0,
438.00,1.93204746E+1,
438.500,3.08540459E+1,
439.00,5.21307106E+1,
439.500,9.98540726E+1,
440.00,1.64291077E+2,
440.500,2.32681107E+2,
441.00,3.18935303E+2,
441.500,4.44778015E+2,
442.00,5.76025452E+2,
442.500,8.17336060E+2,
443.00,1.46358691E+3,
443.500,1.12720430E+4,
444.00,4.98505742E+4,
444.500,9.87638594E+4,
445.00,1.44656219E+5,
445.500,1.67669313E+5,
446.00,1.44674328E+5,
446.500,9.83361953E+4,
447.00,5.09857070E+4,
447.500,1.33428848E+4,
448.00,1.53164319E+3,
448.500,8.38326538E+2,
449.00,5.84377441E+2,
449.500,4.27066193E+2,
450.00,3.54730255E+2,
450.500,2.79988068E+2,
451.00,2.24624588E+2,
451.500,1.81711411E+2,
452.00,1.44870941E+2,
452.500,1.14373322E+2,
453.00,7.91837234E+1,
453.500,4.17436256E+1,
454.00,2.55699482E+1,
454.500,1.73870010E+1,
455.00,1.81333141E+1,
455.500,1.85726833E+1,
456.00,2.20943356E+1,
456.500,1.30548010E+1,
457.00,1.81015091E+1,
457.500,1.26641817E+1,
458.00,1.63623257E+1,
458.500,1.55310373E+1,
459.00,1.99175091E+1,
459.500,1.52960329E+1,
460.00,1.62358475E+1,
460.500,1.80520363E+1,
461.00,2.06169167E+1,
461.500,2.58279610E+1,
462.00,1.85309658E+1,
462.500,2.12261448E+1,
463.00,1.99888763E+1,
463.500,2.25051708E+1,
464.00,2.12347317E+1,
464.500,1.92529507E+1,
465.00,2.08507805E+1,
465.500,1.67709160E+1,
466.00,2.20933876E+1,
466.500,2.19862118E+1,
467.00,2.82213230E+1,
467.500,2.23938389E+1,
468.00,2.97481976E+1,
468.500,2.29748135E+1,
469.00,2.23041134E+1,
469.500,2.43665447E+1,
470.00,2.54731503E+1,
470.500,2.62878876E+1,
471.00,2.45337257E+1,
471.500,2.38790302E+1,
472.00,2.40155258E+1,
472.500,2.92825375E+1,
473.00,3.20392303E+1,
473.500,3.14557686E+1,
474.00,2.75907154E+1,
474.500,2.71656914E+1,
475.00,3.20018883E+1,
475.500,2.72546444E+1,
476.00,2.35699425E+1,
476.500,3.07736511E+1,
477.00,3.20173264E+1,
477.500,2.55672741E+1,
478.00,2.60388165E+1,
478.500,2.56281548E+1,
479.00,2.70676842E+1,
479.500,2.84487076E+1,
480.00,2.90752468E+1,
480.500,3.05289059E+1,
481.00,2.90248871E+1,
481.500,3.26312141E+1,
482.00,3.66825409E+1,
482.500,3.15354137E+1,
483.00,2.92364349E+1,
483.500,3.15090504E+1,
484.00,3.32803459E+1,
484.500,2.97294922E+1,
485.00,2.88547783E+1,
485.500,3.16382122E+1,
486.00,3.36463699E+1,
486.500,3.32079430E+1,
487.00,3.31742897E+1,
487.500,3.21074677E+1,
488.00,4.02417641E+1,
488.500,3.95590286E+1,
489.00,3.27488670E+1,
489.500,3.11988640E+1,
490.00,3.57434158E+1,
490.500,3.89796638E+1,
491.00,3.93155937E+1,
491.500,3.86305771E+1,
492.00,3.39856987E+1,
492.500,2.95885582E+1,
493.00,3.32524796E+1,
493.500,3.60242043E+1,
494.00,3.68258133E+1,
494.500,3.08045673E+1,
495.00,3.63425522E+1,
495.500,3.09938469E+1,
496.00,3.55959091E+1,
496.500,3.48631363E+1,
497.00,3.90010414E+1,
497.500,3.48545990E+1,
498.00,4.10782700E+1,
498.500,3.65457916E+1,
499.00,3.36763535E+1,
499.500,3.50247040E+1,
500.00,3.94946175E+1,
500.500,3.80868721E+1,
501.00,4.29155426E+1,
501.500,3.62441902E+1,
502.00,3.22039528E+1,
502.500,3.29176636E+1,
503.00,3.73969307E+1,
503.500,3.53749046E+1,
504.00,3.83653793E+1,
504.500,3.81542168E+1,
505.00,4.19630585E+1,
505.500,3.89557304E+1,
506.00,3.66365089E+1,
506.500,3.84263916E+1,
507.00,3.17219276E+1,
507.500,3.11682510E+1,
508.00,3.58819771E+1,
508.500,4.11529808E+1,
509.00,3.86210861E+1,
509.500,3.52730713E+1,
510.00,3.92147903E+1,
510.500,3.36012268E+1,
511.00,3.85931282E+1,
511.500,3.76639214E+1,
512.00,3.60047913E+1,
512.500,2.96632996E+1,
513.00,4.40531311E+1,
513.500,3.64628410E+1,
514.00,3.00036716E+1,
514.500,3.43463821E+1,
515.00,3.96108513E+1,
515.500,3.51935997E+1,
516.00,3.72123528E+1,
516.500,3.58295860E+1,
517.00,3.38954010E+1,
517.500,4.07552757E+1,
518.00,3.28404541E+1,
518.500,3.55050812E+1,
519.00,3.46983948E+1,
519.500,3.92089882E+1,
520.00,3.25040169E+1,
520.500,3.22894821E+1,
521.00,3.77814178E+1,
521.500,3.15580978E+1,
522.00,3.61765327E+1,
522.500,2.82451000E+1,
523.00,3.35789642E+1,
523.500,3.47117920E+1,
524.00,3.64172668E+1,
524.500,3.32867126E+1,
525.00,3.25145721E+1,
525.500,3.98665352E+1,
526.00,3.67129326E+1,
526.500,3.02685318E+1,
527.00,3.83988266E+1,
527.500,3.76179543E+1,
528.00,3.73401108E+1,
528.500,3.24652710E+1,
529.00,3.53482780E+1,
529.500,3.92778435E+1,
530.00,3.42352104E+1,
530.500,2.85025082E+1,
531.00,3.24377975E+1,
531.500,3.87104034E+1,
532.00,3.34670792E+1,
532.500,3.30868149E+1,
533.00,4.03457718E+1,
533.500,3.73305779E+1,
534.00,3.29549484E+1,
534.500,3.31124039E+1,
535.00,2.94149990E+1,
535.500,3.26589355E+1,
536.00,2.77240963E+1,
536.500,2.60304966E+1,
537.00,3.52696724E+1,
537.500,3.07194862E+1,
538.00,3.08098450E+1,
538.500,3.24649696E+1,
539.00,3.18940029E+1,
539.500,2.89939556E+1,
540.00,2.42410488E+1,
540.500,2.32760773E+1,
541.00,2.48774891E+1,
541.500,2.84902611E+1,
542.00,2.70348625E+1,
542.500,2.48003540E+1,
543.00,2.41875305E+1,
543.500,3.58173409E+1,
544.00,2.46794758E+1,
544.500,2.37157764E+1,
545.00,3.03730907E+1,
545.500,2.85847988E+1,
546.00,3.11164551E+1,
546.500,3.00917492E+1,
547.00,2.61908684E+1,
547.500,3.03760166E+1,
548.00,2.32205963E+1,
548.500,2.17652531E+1,
549.00,2.87153015E+1,
549.500,2.75886040E+1,
550.00,2.52867413E+1,
550.500,2.62262096E+1,
551.00,2.01649971E+1,
551.500,1.98141747E+1,
552.00,2.62220573E+1,
552.500,3.05148602E+1,
553.00,2.84539776E+1,
553.500,2.91214409E+1,
554.00,3.21685677E+1,
554.500,2.63569527E+1,
555.00,2.13591938E+1,
555.500,2.66017132E+1,
556.00,1.98531170E+1,
556.500,2.21202927E+1,
557.00,2.35584202E+1,
557.500,3.15529137E+1,
558.00,2.19743099E+1,
558.500,2.64978848E+1,
559.00,2.08153343E+1,
559.500,1.91660557E+1,
560.00,2.28260880E+1,
560.500,2.34413490E+1,
561.00,2.76003418E+1,
561.500,2.59529438E+1,
562.00,2.41802998E+1,
562.500,2.20442657E+1,
563.00,2.16783409E+1,
563.500,3.06071033E+1,
564.00,2.46885166E+1,
564.500,2.15731220E+1,
565.00,2.72950153E+1,
565.500,1.74978714E+1,
566.00,1.85239868E+1,
566.500,2.00428352E+1,
567.00,2.25812817E+1,
567.500,2.03239212E+1,
568.00,2.08203506E+1,
568.500,1.99527378E+1,
569.00,2.40270634E+1,
569.500,1.91663837E+1,
570.00,1.97699413E+1,
570.500,1.93753719E+1,
571.00,2.44842453E+1,
571.500,2.86207256E+1,
572.00,2.17416992E+1,
572.500,1.66892414E+1,
573.00,1.73798161E+1,
573.500,1.99824429E+1,
574.00,1.53906393E+1,
574.500,2.02414837E+1,
575.00,1.91936779E+1,
575.500,2.30441322E+1,
576.00,1.99764462E+1,
576.500,1.95690823E+1,
577.00,1.43329782E+1,
577.500,2.66564865E+1,
578.00,1.23236008E+1,
578.500,1.62129517E+1,
579.00,1.78998241E+1,
579.500,1.52428093E+1,
580.00,2.13211613E+1,
580.500,1.64666271E+1,
581.00,2.21497250E+1,
581.500,2.11201992E+1,
582.00,2.06568661E+1,
582.500,2.36321430E+1,
583.00,1.86867676E+1,
583.500,2.21593628E+1,
584.00,1.83054333E+1,
584.500,1.83875027E+1,
585.00,1.84639339E+1,
585.500,1.04432325E+1,
586.00,2.74717789E+1,
586.500,1.99247952E+1,
587.00,1.88179913E+1,
587.500,1.83479443E+1,
588.00,9.53187943E+0,
588.500,1.31781511E+1,
589.00,1.62406883E+1,
589.500,1.38893442E+1,
590.00,1.82250004E+1,
590.500,1.71091938E+1,
591.00,1.59630375E+1,
591.500,1.91482430E+1,
592.00,2.36015701E+1,
592.500,1.99573364E+1,
593.00,1.81569901E+1,
593.500,1.13551626E+1,
594.00,1.01588602E+1,
594.500,1.46310854E+1,
595.00,1.72673969E+1,
595.500,1.47779608E+1,
596.00,1.29348812E+1,
596.500,1.82136250E+1,
597.00,1.69823246E+1,
597.500,1.64656219E+1,
598.00,1.44712925E+1,
598.500,1.06054773E+1,
599.00,1.60099506E+1,
599.500,1.94789581E+1,
600.00,1.48509378E+1,
600.500,1.50099964E+1,
601.00,1.64420891E+1,
601.500,9.61059093E+0,
602.00,1.44766836E+1,
602.500,1.04098892E+1,
603.00,1.81436043E+1,
603.500,1.61408825E+1,
604.00,1.41611958E+1,
604.500,1.70800896E+1,
605.00,1.50671606E+1,
605.500,1.29411068E+1,
606.00,1.08839989E+1,
606.500,1.24037209E+1,
607.00,2.13381310E+1,
607.500,1.62453957E+1,
608.00,1.63367081E+1,
608.500,8.21794605E+0,
609.00,1.05100536E+1,
609.500,9.80978680E+0,
610.00,1.29474926E+1,
610.500,1.67710896E+1,
611.00,9.24294472E+0,
611.500,1.00553741E+1,
612.00,1.48112049E+1,
612.500,1.41211138E+1,
613.00,9.48272991E+0,
613.500,1.19083033E+1,
614.00,1.75717220E+1,
614.500,2.01833076E+1,
615.00,1.70120564E+1,
615.500,7.33957195E+0,
616.00,9.87116909E+0,
616.500,1.48930922E+1,
617.00,1.66925774E+1,
617.500,1.00779190E+1,
618.00,1.18307686E+1,
618.500,7.65388680E+0,
619.00,9.39427948E+0,
619.500,1.03619394E+1,
620.00,1.99450798E+1,
620.500,1.48081980E+1,
621.00,1.05768538E+1,
621.500,1.15196276E+1,
622.00,1.51435375E+1,
622.500,1.34885521E+1,
623.00,1.08565063E+1,
623.500,1.73590508E+1,
624.00,2.20838299E+1,
624.500,1.56811342E+1,
625.00,8.37875843E+0,
625.500,1.31567583E+1,
626.00,1.51217632E+1,
626.500,1.14162073E+1,
627.00,8.62509346E+0,
627.500,1.35179977E+1,
628.00,1.16627302E+1,
628.500,1.27780037E+1,
629.00,4.93735075E+0,
629.500,7.94713211E+0,
630.00,9.01708889E+0,
630.500,7.05802441E+0,
631.00,7.12608004E+0,
631.500,6.14935017E+0,
632.00,1.03365717E+1,
632.500,1.34827185E+1,
633.00,7.34976482E+0,
633.500,1.47519426E+1,
634.00,6.40587616E+0,
634.500,6.44866371E+0,
635.00,7.58380413E+0,
635.500,8.73580170E+0,
636.00,6.58890915E+0,
636.500,7.76617241E+0,
637.00,5.58730602E+0,
637.500,9.00248909E+0,
638.00,9.09381390E+0,
638.500,1.72245579E+1,
639.00,1.61892643E+1,
639.500,1.75035248E+1,
640.00,9.41412830E+0,
640.500,1.06991959E+1,
641.00,1.91691742E+1,
641.500,1.20780153E+1,
642.00,3.66549063E+0,
642.500,7.35168314E+0,
643.00,4.95691109E+0,
643.500,1.12119846E+1,
644.00,1.76853008E+1,
644.500,1.90351963E+1,
645.00,1.28166425E+0,
645.500,1.67785721E+1,
646.00,1.30526085E+1,
646.500,1.70888519E+1,
647.00,1.19089470E+1,
647.500,1.47129421E+1,
648.00,9.45174408E+0,
648.500,1.09133234E+1,
649.00,1.23980522E+1,
649.500,4.16232777E+0,
650.00,5.60044813E+0,
650.500,0.00000000E+0,
651.00,1.14413528E+1,
651.500,2.01578293E+1,
652.00,5.81514978E+0,
652.500,1.03021078E+1,
653.00,7.40982246E+0,
653.500,1.04486122E+1,
654.00,3.02174520E+0,
654.500,3.04624462E+0,
655.00,1.23038340E+1,
655.500,7.77671337E+0,
656.00,3.14322233E+0,
656.500,7.93450737E+0,
657.00,6.43742323E+0,
657.500,6.48286486E+0,
658.00,9.82509041E+0,
658.500,8.29009819E+0,
659.00,1.00576792E+1,
659.500,-1.69240069E+0,
660.00,2.56555710E+1,
660.500,1.73788714E+0,
661.00,1.58226566E+1,
661.500,5.34921360E+0,
662.00,7.19691944E+0,
662.500,-3.67114401E+0,
663.00,2.23386574E+1,
663.500,2.45883560E+1,
664.00,9.61103630E+0,
664.500,5.88231754E+0,
665.00,1.19492149E+1,
665.500,8.05965233E+0,
666.00,8.19391251E+0,
666.500,4.14695883E+0,
667.00,4.19764280E+0,
667.500,3.16637115E+1,
668.00,1.70268803E+1,
668.500,6.42482233E+0,
669.00,4.29994917E+0,
669.500,-2.15220523E+0,
670.00,1.94619961E+1,
670.500,1.94830627E+1,
671.00,1.29825220E+1,
671.500,2.37727089E+1,
672.00,1.52072706E+1,
672.500,1.73506546E+1,
673.00,-8.69184971E+0,
673.500,2.17665052E+0,
674.00,1.74260502E+1,
674.500,8.77212048E+0,
675.00,6.55750561E+0,
675.500,1.75523643E+1,
676.00,1.09845476E+1,
676.500,-2.19953251E+0,
677.00,1.10424347E+1,
677.500,1.32217417E+1,
678.00,1.10631313E+1,
678.500,2.43880634E+1,
679.00,8.91333485E+0,
679.500,3.11547337E+1,
680.00,2.50058804E+1,
680.500,1.59099979E+1,
681.00,1.37118464E+1,
681.500,1.14531727E+1,
682.00,4.58926201E+0,
682.500,9.20263767E+0,
683.00,9.27932739E+0,
683.500,0.00000000E+0,
684.00,-2.33796263E+0,
684.500,2.57266445E+1,
685.00,4.68248987E+0,
685.500,1.41668873E+1,
686.00,1.41588860E+1,
686.500,7.11764574E+0,
687.00,-2.38048983E+0,
687.500,1.43242416E+1,
688.00,-2.39546251E+0,
688.500,2.16956310E+1,
689.00,7.26258469E+0,
689.500,2.66379795E+1,
690.00,3.40525932E+1,
690.500,9.79255486E+0,
691.00,2.46487331E+0,
691.500,4.94405985E+0,
692.00,9.95189381E+0,
692.500,0.00000000E+0,
693.00,0.00000000E+0,
693.500,7.59194946E+0,
694.00,1.01690683E+1,
694.500,2.56009531E+0,
695.00,1.29067898E+1,
695.500,2.59267879E+0,
696.00,1.04562273E+1,
696.500,7.88759756E+0,
697.00,5.29769993E+0,
697.500,1.33516321E+1,
698.00,2.15369606E+1,
698.500,8.11736298E+0,
699.00,2.44403133E+1,
699.500,8.21579266E+0,
700.00,1.37617025E+1,
700.500,2.77805734E+0,
701.00,1.67833405E+1,
701.500,1.69094906E+1,
702.00,1.41521807E+1,
702.500,3.13480473E+1,
703.00,2.87259078E+0,
703.500,1.15927486E+1,
704.00,1.74959583E+1,
704.500,1.17504654E+1,
705.00,1.18608236E+1,
705.500,2.99330187E+0,
706.00,3.01745534E+0,
706.500,3.03060389E+0,
707.00,1.82647781E+1,
707.500,-6.14543915E+0,
708.00,3.09657307E+1,
708.500,-9.37101841E+0,
709.00,-3.14989948E+0,
709.500,1.27271872E+1,
710.00,1.60364494E+1,
710.500,9.71660995E+0,
711.00,6.51439667E+0,
711.500,2.63030510E+1,
712.00,4.64997940E+1,
712.500,1.67684193E+1,
713.00,1.68562813E+1,
713.500,1.35947866E+1,
714.00,5.46685791E+1,
714.500,1.38551207E+1,
715.00,1.04469604E+1,
715.500,1.76021690E+1,
716.00,1.76816654E+1,
716.500,0.00000000E+0,
717.00,3.60763407E+0,
717.500,1.09126253E+1,
718.00,1.46797543E+1,
718.500,0.00000000E+0,
719.00,2.99061604E+1,
719.500,1.13564625E+1,
720.00,-3.82368445E+0,
720.500,1.15346537E+1,
721.00,1.55327969E+1,
721.500,7.83484983E+0,
722.00,2.37549419E+1,
722.500,7.99468422E+0,
723.00,2.41635075E+1,
723.500,1.62731571E+1,
724.00,0.00000000E+0,
724.500,4.14728355E+0,
725.00,1.25174904E+1,
725.500,3.36751289E+1,
